index,flight-counts
AK,52818
AL,51125
AR,35136
AZ,346252
CA,1218745
CO,479372
CT,40194
DC,226131
DE,0
FL,876232
GA,776731
HI,139771
IA,26662
ID,41820
IL,702984
IN,80890
KS,18848
KY,32139
LA,134153
MA,244294
MD,191278
ME,13782
MI,287494
MN,261571
MO,201933
MS,21839
MT,34051
NC,316300
ND,26867
NE,42489
NH,13444
NJ,242165
NM,42583
NV,323313
NY,495827
OH,175462
OK,62857
OR,134674
PA,213425
PR,59408
RI,25060
SC,64945
SD,16337
TN,159523
TT,976
TX,1041128
UT,218147
VA,66199
VI,12035
VT,8150
WA,283837
WI,103489
WV,5194
WY,17507
